category,title,context,group,url,contact,,,
科普活動,中研講堂──跨縣市科普演講,"中研院自107年起舉辦「中研講堂──跨縣市科普演講」，以利外縣市學子可聆聽中研院研究演講，不受交通、城鄉差距等因素影響。
「中研講堂──跨縣市科普演講」，由院內研究人員向民眾分享研究成果。目前已造訪12個縣市，各場次平均報名達300人、演講影片最高觀看次數逾 14萬次。未來，中研院將持續規劃舉辦，並優先考量於未造訪過之縣市舉行。",生活,,郭小姐 2633,,,
科普活動,院區開放,"中研院自87年起舉辦「院區開放參觀活動」(Open House)， 是眾多科普迷們引頸期盼的年度盛事，也是讓社會瞭解中研院研究成果的重要機會。
「院區開放參觀活動」每年皆舉辦於10月的星期六，活動持續整天，迄今已25年。活動當天，各所中心會推出各式科普活動，種類多元，如演講、工作坊、展覽、影片欣賞、互動式體驗、手作與親子遊戲等等，部分活動也開放線上參與。
今年「院區開放參觀活動」日期為113年10月19日，本次活動亦於10月12日規劃「兒童科普日」，設計分齡互動活動，讓小朋友從遊戲中體驗科學樂趣。今年舉辦之院區開放詳細活動資訊將公布於中研院官網。
民眾如欲參加院區開放活動，可於院區開放官方網站查詢活動內容與報名相關資訊，網站亦涵蓋「歷年活動」頁面，羅列近3年活動資訊連結。",生活,,陳小姐 9488,,,
科普活動,知識饗宴,"中研院自93年起，舉辦「知識饗宴科普演講」及「故院長科普演講」，並於108年度起整併為「知識饗宴系列科普演講」。研究人員深入淺出介紹研究成果，於活動月週二晚上，邀請院內外不同研究領域研究人員主講。由於講題通俗，演講內容生動有趣，每場均吸引上百名社區居民及年輕學子參加。
近年，本院也積極將演講影片錄影或直播，製作成影音學習內容，上傳至中研院官方YouTube平台，將精彩的演講內容廣為宣傳週知。
民眾如欲觀賞過去演講內容，可至中研院官方YouTube帳號查詢。
每場「知識饗宴系列科普演講」的報名資料將於活動前公佈於中研院官方網站與官方臉書帳號。活動採線上報名制，亦開放30位當日現場報名名額，額滿為止。
",生活,,官小姐 9726,,,
科普推廣,研之有物,"中研院於106年4月成立「研之有物」科普平台，以淺顯親民的圖文報導，介紹本院研究人員及研究成果。
目前，「研之有物」已累積近370篇科普文章，近三年獲國內各大網路平台及媒體轉載超過1100次。107年，「研之有物」出版第一本實體書籍《研之有物：穿越古今！中研院的25堂人文公開課》，為人文組系列書籍。110年出版生命組系列書籍《研之有物：見微知著！中研院的21堂生命科學課》，持續將網路流傳的科普知識延伸至實體書籍，並搭配中研院各項活動進行宣傳。預計於113年推出數理組系列書籍。
未來，「研之有物」將持續產製與中研院研究有關之科普文章，並加強與公私部門及不同類型媒體的合作串聯，以拓展其他領域之讀者群。
中研院於106年成立本「研之有物」臉書專頁，以推廣「研之有物」網站文章。目前粉絲數約66000人。中研院另於107年建立「研之有物」IG專頁，追蹤數約16000人。",生活,http://research.sinica.edu.tw/,簡先生 2654,,,
科普推廣,社群媒體,"中研院自105年成立「中央研究院」臉書專頁，以將中研院研究成果推向網路社群，目前粉絲數已逾17萬人。中研院自108年亦開通Instagram帳號，讓更多年輕族群了解中研院研究成果，目前追蹤數約2.9萬人。
中研院105年起設立YouTube平臺(中央研究院官方影音頻道)，以透過網路影音與大眾分享中研院研究成果及科普演講，目前訂閱人數近9.4萬人，共上傳影片320部。",生活,https://www.facebook.com/sinicaedu/,郭小姐 2633,,,
藝文活動,藝文活動,"中央研究院為推動藝文表演藝術之發展，鼓勵優秀表演團體、豐富週邊居民文化生活，於每年9月開放申請翌年演出之檔期。經向政府主管機關登記立案之個人表演工作者、演藝團體、文化藝術財團法人、社會團體、藝術工作室、文化事業機構、藝術經紀公司等具申請資格。申請類別包含戲劇、舞蹈、音樂、民俗技藝、其他表演。演出場地為中研院學術活動中心大禮堂或其他合適之表演場地。 
每一場詳細報名資料將於活動前公佈於中研院官方網站與官方臉書帳號。活動採線上報名制，不接受電話或其他方式報名。",生活,,陳小姐 9488,,,
院士事務,關於院士,中央研究院院士為終身名譽職，屬名譽榮銜。,,https://www.sinica.edu.tw/Tab/6,秘書處議事科,,,
院士事務,關於院士,中央研究院院士職權包括：1、選舉院士及名譽院士；2、選舉評議員；3、籌議國家學術研究方針；4、受政府及有關單位之委託，辦理學術設計、調查、審查及研究事項。,,https://www.sinica.edu.tw/Tab/6,秘書處議事科,,,
院士事務,關於院士,中央研究院院士目前除部分(17位)在中研院任職外，大多數院士是在國內外知名學研機構工作。(迄民國113年(2024年)8月12日之統計)。,,,秘書處議事科,,,
院士事務,關於院士,央研究院院士共分為4個學組，包括數理科學組、工程科學組、生命科學組、人文及社會科學組。,,https://www.sinica.edu.tw/Tab/6,秘書處議事科,,,
院士事務,院士選舉,中央研究院院士每2年選舉1次，依下列資格之一，由院士會議就全國學術界成績卓著人士選舉之：1、對於專習之學術，有特殊著作、發明或貢獻者。2、對於專習學術之機關領導或主持5年以上，成績卓著者。,,,秘書處議事科,,,
院士事務,院士選舉,中研院院士候選人由現任院士連署提名，或大學、研究機關提名。提名中研院院士候選人時，須依各屆院士候選人提名表格式填寫，並檢附有關之著作及其他文件。,,,秘書處議事科,,,
院士事務,院士選舉,中研院院士會議除辦理院士選舉外，另安排頒發院士證章、院長院務報告、主題演講、專題討論、綜合議案討論，以及重要議題討論。,,,秘書處議事科,,,
院士事務,院士會議,中研院院士會議2年舉行1次。,,https://www.sinica.edu.tw/Tab/6/2,秘書處議事科,,,
院士事務,院士會議,中央研究院係於民國37年(1948年)3月選出第1屆院士，並於同年9月在南京舉行第1次院士會議。嗣後因戰亂，本院遷至臺灣，於民國46年(1957年)在臺北舉行第2次院士會議，當時並未舉行院士選舉。民國47年(1958年)第3次院士會議時方選出第2屆院士。次年(民國48年，1959年)第4次院士會議選出第3屆院士，民國51年(1962年)第5次院士會議選出第4屆院士。因此院士會議的次別與院士屆別相差1屆。,,,秘書處議事科,,,
院士事務,院士統計,自第2屆院士選舉後，中研院新科院士當選人數最多的一屆是第34屆(民國113年(2024年))，共28人。最少的一屆是第5屆(民國53年(1964年))，共6人。,,,秘書處議事科,,,
院士事務,院士統計,中央研究院院士現有298人，其中數理科學組72人、工程科學組66人、生命科學組99人、人文及社會科學組61人(國內101人、國外181人、大陸及港澳地區16人)(迄民國113年(2024年)8月12日之統計)。,,https://www.sinica.edu.tw/Tab/6,秘書處議事科,,,
院士事務,院士統計,目前中研院院士中，當選年齡最年輕的院士是第2屆數理組李政道院士32歲；當選年齡最年長的院士是第34屆人文組王澤鑑院士86歲。,,,秘書處議事科,,,
院士事務,院士統計,中研院全體院士平均年齡76.4歲；數理科學組75.3歲、工程科學組78.6歲、生命科學組75.6歲、人文及社會科學組75.9歲。男性共256人(85.9%)、女性共42人(14.1%)。,,,秘書處議事科,,,
院士事務,國內院士季會,中研院國內院士於民國88年(1999年)7月5日首度群聚一堂，決定每年將舉辦4次(現為1年3次)之中研院「國內院士季會」，多加聯繫聚集研討，形成學術社群，為提升台灣學術水準及國家發展提出建言並有所貢獻。除了進行「院士座談會」外，另邀請頂尖學者、聲譽卓著之人士作專題演講。,,,秘書處議事科,,,
院士事務,國內院士季會,中研院國內院士季會原訂1年4次(1月、4月、7月、10月)的定期聚會，鑑於7、8月份院士們各項學術活動較為頻繁，民國89年(2000年)11月13日召開的國內院士季會召集委員會議決議，民國90年(2001年)起國內院士季會更改為1年3次(1月、5月、9月)。,,,秘書處議事科,,,
院級會議,評議會,中央研究院評議會的成員組成包括聘任評議員和當然評議員。,,https://www.sinica.edu.tw/Tab/7/1,秘書處議事科,,,
院級會議,評議會,中央研究院評議員的總數是81位(截至民國113年(2024年)8月12日)。,,,秘書處議事科,,,
院級會議,評議會,中央研究院的當然評議員包括：院長、副院長、研究所所長和研究中心主任。,,,秘書處議事科,,,
院級會議,評議會,中央研究院聘任評議員須經由3位院士聯署提名，經院士選舉當選後呈請總統聘任。,,,秘書處議事科,,,
院級會議,評議會,央研究院評議會的會議通常於4月和10月召開。,,https://www.sinica.edu.tw/Timeline/57?Datas_Query.eventCID=4&Datas_Query.instCode=02&Datas_Query.keyword=%E8%A9%95%E8%AD%B0%E6%9C%83&Datas_Query.NowYearMonth=2024-10-01&Datas_Query.division=,秘書處議事科,,,
院級會議,院務會議,中研院院務會議由院長、副院長、研究所所長、研究所籌備處主任、研究中心主任、學術諮詢總會執行秘書、院本部秘書長及本院21位研究人員代表(分為數理科學組、生命科學組、人文及社會科學組3組，每組7人，任期2年，連選得連任1次)組成。,,https://www.sinica.edu.tw/Tab/8,秘書處議事科,,,
院級會議,院務會議,中研院院務會議研究人員代表由本院各研究所、研究所籌備處、研究中心自行經民主程序推舉候選人一名，研究人員亦得自由報名成為該組選任代表候選人。經該組全體研究人員以限制連記法投票方式(連記二人)選舉產生。得票較多者當選；票數相同者，以抽籤方式決定。各組研究人員代表選足名額後，其他得票之候選人，按票數多寡依次為候補人；研究人員代表出缺時，由同組候補人依次遞補。,,,秘書處議事科,,,
院級會議,院務會議,中研院院務會議研究人員代表任期2年，現任(第11屆)院務會議研究人員代表任期為民國112年(2023年)4月18日至民國114年(2025年)4月17日止。現任院務會議研究人員代表名單可於以下網址查詢：https://www.sinica.edu.tw/Tab/8/1,,,秘書處議事科,,,
院級會議,院務會議,中研院歷屆院務會議研究人員代表名單可於以下網址查詢：https://www.sinica.edu.tw/Tab/8/2,,,秘書處議事科,,,
院級會議,院務會議,中研院院務會議以3個月開會1次為原則，必要時得召開臨時會。,,,秘書處議事科,,,
院級會議,院務會議,中研院歷次院務會議紀錄(自民國87年(1998年))起可於中研院院網查詢，網址如下：https://www.sinica.edu.tw/Tab/8/4,,,秘書處議事科,,,
立法院,立法院,中央研究院隸屬於總統府，但中研院之預算仍受立法院監督審查。,,,秘書處議事科,,,
立法院,立法院,中研院到立法院進行業務報告的書面資料可至立法院議事暨公報資訊網查詢。,,https://ppg.ly.gov.tw/ppg/,秘書處議事科,,,
政策建議,政策建議書,中研院共出版了18本政策建議書(截至民國113年(2024年)8月12日)。,,https://sec.sinica.edu.tw/pages/1552,秘書處議事科,,,
政策建議,政策建議書,央研究院撰寫政策建議書的研議小組由中研院院士、國內外相關領域的專家學者組成。,,,秘書處議事科,,,
政策建議,政策建議書,中央研究院期望政策建議書能引發社會對相關問題的多元思辨，以利政府決策及研擬執行方案。,,,秘書處議事科,,,
